Respondent id number,Region of interview,Rs religious preference,Was r's work part-time or full-time?,Sexual orientation,Rs income in constant $,Hispanic specified,Race of household,Ballot used for interview,R's socioeconomic index (2010),Rs family income when 16 yrs old,Race of respondent,Respondents sex,Number of hours worked last week,R self-emp or works for somebody,Marital status,Number of children,Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Total family income
2330,Mountain,Catholic,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot c,24.8,Below average,White,Male,Not applicable,Someone else,Divorced,3,79,12,Don't know,Don't know,Not applicable,$6 000 to 6 999
2331,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,76.3,Above average,White,Female,Not applicable,Self-employed,Divorced,1,84,13,12,8,Not applicable,$7 000 to 7 999
2332,Mountain,Protestant,Not applicable,Not applicable,234,Not hispanic,White,Ballot b,84.2,Above average,Other,Female,Not applicable,Someone else,Divorced,1,65,15,12,12,Not applicable,$75000 to $89999
2333,Mountain,Catholic,Full-time,Not applicable,0,Puerto rican,Black,Ballot a,77.4,Above average,Black,Male,32,Someone else,Widowed,3,61,16,14,16,Not applicable,$40000 to 49999
2334,Mountain,Protestant,Full-time,Heterosexual or straight,2106,"Mexican, mexican american, chicano/a",White,Ballot c,19.6,Below average,Other,Female,70,Someone else,Never married,1,26,9,0,16,Not applicable,$4 000 to 4 999
2335,Mountain,Catholic,Full-time,Heterosexual or straight,17550,Spanish,"Other, mixed",Ballot c,50.3,Above average,White,Female,Not applicable,Someone else,Divorced,1,57,12,7,Not applicable,Not applicable,$35000 to 39999
2336,Mountain,None,Part-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,84.2,Average,White,Female,24,Someone else,Married,1,31,17,14,16,10,$110000 to $129999
2337,Mountain,None,Full-time,Not applicable,38610,Not hispanic,White,Ballot a,67.7,Above average,White,Male,55,Someone else,Married,1,38,16,17,Not applicable,15,$130000 to $149999
2338,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,32,Average,White,Male,Not applicable,Someone else,Divorced,2,51,11,Not applicable,12,Not applicable,$35000 to 39999
2339,Mountain,Other,Full-time,Not applicable,3510,"Mexican, mexican american, chicano/a","Other, mixed",Ballot a,31.2,Average,Other,Male,5,Someone else,Never married,3,22,10,Not applicable,12,Not applicable,Refused
2340,Mountain,Protestant,Full-time,Not applicable,21060,Not hispanic,"Other, mixed",Ballot b,71.4,Above average,White,Male,40,Someone else,Divorced,0,55,18,8,10,Not applicable,$40000 to 49999
2341,Mountain,Orthodox-christian,Full-time,Not applicable,21060,Not hispanic,"Other, mixed",Ballot a,43,Above average,White,Female,32,Someone else,Divorced,0,46,20,10,10,Not applicable,$40000 to 49999
2342,Mountain,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,52.6,Average,White,Female,Not applicable,Someone else,Divorced,0,80,16,14,12,Not applicable,$12500 to 14999
2343,Mountain,None,Not applicable,Not applicable,1638,Not hispanic,Black,Ballot b,23.3,Far below average,Black,Male,Not applicable,Someone else,Never married,4,53,14,Not applicable,18,Not applicable,$22500 to 24999
2344,Mountain,Other,Full-time,Not applicable,4212,Not hispanic,White,Ballot a,13.6,Below average,White,Male,43,Someone else,Separated,1,31,12,16,16,Not applicable,$12500 to 14999
2345,Mountain,Catholic,Full-time,Heterosexual or straight,56160,Not hispanic,White,Ballot c,24,Average,White,Male,50,Self-employed,Divorced,2,53,12,13,12,Not applicable,$110000 to $129999
2346,Mountain,Protestant,Full-time,No answer,0,Not hispanic,White,Ballot b,25.7,Far below average,White,Female,30,Someone else,Never married,0,24,11,Not applicable,12,Not applicable,$25000 to 29999
2347,Mountain,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,61.4,Average,White,Female,Not applicable,Self-employed,Never married,0,63,20,Don't know,Not applicable,Not applicable,$20000 to 22499
2348,Mountain,Protestant,Full-time,Heterosexual or straight,56160,Not hispanic,White,Ballot b,79.4,Average,White,Male,68,Someone else,Married,2,38,18,16,16,16,$110000 to $129999
2349,Mountain,Protestant,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,68.6,Below average,White,Male,45,Someone else,Married,2,44,18,12,12,18,$130000 to $149999
2350,Mountain,Catholic,Part-time,Heterosexual or straight,936,Not hispanic,White,Ballot b,39.7,Below average,White,Female,8,Someone else,Married,4,54,14,10,12,19,$150000 to $169999
2351,Mountain,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,55.3,Below average,White,Male,Not applicable,Someone else,Widowed,2,75,18,12,16,Not applicable,Refused
2352,Mountain,Protestant,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot b,70.3,Average,White,Female,50,Someone else,Divorced,2,52,16,15,14,Not applicable,$110000 to $129999
2353,Mountain,Protestant,Part-time,Heterosexual or straight,9945,Not hispanic,"Other, mixed",Ballot c,68.6,Far below average,Other,Female,32,Someone else,Married,3,54,16,Not applicable,0,16,$90000 to $109999
2354,Mountain,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,75.5,Above average,White,Female,45,Someone else,Divorced,2,43,19,15,14,Not applicable,$50000 to 59999
2355,Mountain,Protestant,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,74.8,Average,White,Male,Not applicable,Someone else,Never married,0,31,16,20,18,Not applicable,$90000 to $109999
2356,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,38.8,Above average,White,Female,20,Someone else,Married,2,48,12,16,13,16,$60000 to 74999
2357,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,77.4,Average,White,Male,Not applicable,Self-employed,Married,1,86,11,12,12,12,Refused
2358,Mountain,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,76.7,Below average,White,Female,35,Someone else,Divorced,3,50,16,16,Not applicable,Not applicable,$60000 to 74999
2359,Mountain,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,49.6,Average,White,Female,Not applicable,Someone else,Married,3,58,16,16,14,18,$130000 to $149999
2360,Mountain,Catholic,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,38.1,Average,White,Female,65,Someone else,Divorced,3,50,18,18,16,Not applicable,$50000 to 59999
2361,Mountain,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,76.3,Average,White,Female,40,Someone else,Divorced,3,62,18,20,14,Not applicable,$150000 to $169999
2362,Mountain,Protestant,Full-time,Heterosexual or straight,164382.0376,Not hispanic,White,Ballot b,68,Above average,White,Male,45,Self-employed,Married,1,60,16,12,12,14,$170000 or over
2363,Mountain,Catholic,Part-time,Heterosexual or straight,936,Not hispanic,White,Ballot b,21.8,Above average,White,Female,20,Someone else,Never married,0,20,13,16,18,Not applicable,$60000 to 74999
2364,Mountain,None,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,60.5,Average,White,Female,40,Someone else,Married,0,30,16,Not applicable,18,12,$75000 to $89999
2365,Mountain,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,37.6,Below average,White,Male,Not applicable,Someone else,Divorced,2,35,9,Not applicable,10,Not applicable,$10000 to 12499
2366,Mountain,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,83.8,Above average,White,Male,Not applicable,Someone else,Never married,0,68,16,16,16,Not applicable,$7 000 to 7 999
2367,Mountain,Protestant,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a","Other, mixed",Ballot b,20.7,Far below average,Other,Male,Not applicable,Someone else,Married,2,60,6,Not applicable,0,19,$90000 to $109999
2368,Mountain,None,Full-time,Not applicable,65520,Not hispanic,"Other, mixed",Ballot a,73.9,Above average,White,Female,40,Someone else,Married,2,36,18,16,18,11,$150000 to $169999
2369,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot c,35.8,Average,White,Female,Not applicable,Someone else,Divorced,2,58,13,Not applicable,16,Not applicable,$30000 to 34999
2370,Mountain,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,76.3,Below average,White,Female,Not applicable,Someone else,Never married,0,71,12,8,16,Not applicable,$12500 to 14999
2371,Mountain,None,Full-time,Heterosexual or straight,12870,Not hispanic,White,Ballot c,32,Average,White,Male,30,Someone else,Never married,0,22,12,14,16,Not applicable,$25000 to 29999
2372,Mountain,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot b,28.7,Average,Black,Female,Not applicable,Someone else,Divorced,6,59,12,12,12,Not applicable,$8 000 to 9 999
2373,Mountain,Protestant,Full-time,Not applicable,17550,Not hispanic,White,Ballot a,52,Average,White,Female,60,Someone else,Married,3,37,13,14,14,12,$40000 to 49999
2374,Mountain,Catholic,Not applicable,Heterosexual or straight,0,Puerto rican,White,Ballot b,60.1,Average,Black,Female,Not applicable,Self-employed,Married,3,25,10,12,9,12,Don't know
2375,Mountain,None,Not applicable,Bisexual,0,Not hispanic,Black,Ballot c,37.6,Average,White,Female,Not applicable,Someone else,Never married,1,30,13,12,Don't know,Not applicable,$30000 to 34999
2376,Mountain,Catholic,Full-time,Heterosexual or straight,31590,Not hispanic,Black,Ballot c,77.4,Below average,Black,Male,44,Someone else,Married,5,61,14,13,13,12,$90000 to $109999
2377,Mountain,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot b,37.6,Far below average,White,Female,Not applicable,Someone else,Divorced,3,44,12,12,9,Not applicable,$30000 to 34999
2378,Mountain,Protestant,Part-time,Heterosexual or straight,6435,Not hispanic,Black,Ballot b,24.2,Below average,Black,Female,33,Someone else,Never married,1,36,14,15,15,Not applicable,$12500 to 14999
2379,Mountain,Protestant,Part-time,Not applicable,936,"Mexican, mexican american, chicano/a",White,Ballot a,20.1,Average,White,Female,40,Someone else,Never married,0,21,12,Not applicable,12,Not applicable,Don't know
2380,Mountain,Protestant,Full-time,Heterosexual or straight,6435,Not hispanic,White,Ballot b,62.6,Average,White,Female,50,Someone else,Widowed,0,68,20,12,18,Not applicable,$22500 to 24999
2381,Pacific,Catholic,No answer,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot c,20.1,Below average,White,Female,40,Someone else,Married,3,39,4,3,3,5,$30000 to 34999
2382,Pacific,Catholic,Full-time,Heterosexual or straight,7605,"Mexican, mexican american, chicano/a","Other, mixed",Ballot c,31.2,Far below average,Other,Male,10,Someone else,Divorced,3,46,15,0,14,Not applicable,$15000 to 17499
2383,Pacific,Protestant,Full-time,Heterosexual or straight,1638,"Mexican, mexican american, chicano/a","Other, mixed",Ballot b,37.6,Average,White,Female,Not applicable,Someone else,Never married,0,20,12,8,9,Not applicable,$35000 to 39999
2384,Pacific,Protestant,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a","Other, mixed",Ballot a,-1,Far below average,White,Female,Not applicable,Not applicable,Married,3,64,12,Don't know,Don't know,12,$30000 to 34999
2385,Pacific,Catholic,Full-time,Heterosexual or straight,12870,"Mexican, mexican american, chicano/a","Other, mixed",Ballot c,14,Below average,White,Male,65,Someone else,Married,2,49,1,3,0,9,$60000 to 74999
2386,Pacific,Catholic,Part-time,Not applicable,5265,"Mexican, mexican american, chicano/a","Other, mixed",Ballot a,14,Far below average,White,Female,55,Someone else,Married,2,42,6,0,Don't know,6,$35000 to 39999
2387,Pacific,Protestant,Not applicable,Heterosexual or straight,0,42,White,Ballot c,23,Average,Other,Male,Not applicable,Someone else,Never married,0,53,11,11,8,Not applicable,Refused
2388,Pacific,Catholic,Full-time,Not applicable,21060,"Mexican, mexican american, chicano/a","Other, mixed",Ballot b,34.7,Below average,Other,Male,Not applicable,Someone else,Never married,3,28,12,Don't know,Don't know,Not applicable,$40000 to 49999
2389,Pacific,None,Part-time,Heterosexual or straight,3510,Not hispanic,White,Ballot c,14,Below average,White,Male,30,Someone else,Married,0,68,12,4,7,14,$40000 to 49999
2390,Pacific,Protestant,Part-time,Not applicable,936,Not hispanic,White,Ballot a,13.6,Above average,White,Male,20,Someone else,Never married,0,19,12,12,15,Not applicable,Don't know
2391,Pacific,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,57.5,Below average,White,Female,40,Someone else,Married,3,52,16,Not applicable,18,16,$130000 to $149999
2392,Pacific,None,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a","Other, mixed",Ballot a,54.6,Far below average,Other,Female,Not applicable,Someone else,Divorced,2,66,14,1,1,Not applicable,Don't know
2393,Pacific,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,60.3,Above average,White,Female,38,Someone else,Married,1,42,14,19,17,12,$110000 to $129999
2394,Pacific,None,Full-time,Not applicable,21060,"Mexican, mexican american, chicano/a",White,Ballot a,31.5,Far below average,Other,Male,47,Someone else,Married,1,33,9,0,0,16,$60000 to 74999
2395,Pacific,Other,Not applicable,Heterosexual or straight,0,Equadorian,White,Ballot c,50.4,Far below average,Other,Male,Not applicable,Someone else,Separated,3,29,11,18,Not applicable,Not applicable,$20000 to 22499
2396,Pacific,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,37.6,Average,White,Female,Not applicable,Someone else,Never married,0,39,13,20,Don't know,Not applicable,$12500 to 14999
2397,Pacific,Catholic,Full-time,Not applicable,8775,"Mexican, mexican american, chicano/a",White,Ballot a,18.6,Below average,Other,Male,48,Self-employed,Never married,3,37,12,Not applicable,0,Not applicable,$17500 to 19999
2398,Pacific,Catholic,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot b,31.2,Below average,White,Male,40,Someone else,Married,Eight or more,54,11,Not applicable,12,11,$35000 to 39999
2399,Pacific,None,Part-time,Not applicable,8775,"Mexican, mexican american, chicano/a",White,Ballot a,19.6,Average,White,Female,38,Someone else,Never married,0,22,16,Don't know,13,Not applicable,$17500 to 19999
2400,Pacific,Protestant,Full-time,Heterosexual or straight,936,"Mexican, mexican american, chicano/a",White,Ballot c,31.1,Above average,White,Male,Not applicable,Self-employed,Never married,0,21,12,13,13,Not applicable,$3 000 to 3 999
2401,Pacific,None,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot b,18.8,Far below average,Black,Male,Not applicable,Someone else,Never married,0,19,12,Not applicable,15,Not applicable,$10000 to 12499
2402,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,23.3,Below average,White,Male,Not applicable,Someone else,Never married,2,49,6,Not applicable,12,Not applicable,Under $1 000
2403,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot a,-1,Below average,Black,Female,Not applicable,Not applicable,Married,5,64,15,3,0,16,$20000 to 22499
2404,Pacific,Catholic,Full-time,Heterosexual or straight,17550,"Mexican, mexican american, chicano/a",White,Ballot c,25.2,Far below average,Other,Male,25,Someone else,Married,4,34,16,9,Not applicable,12,$50000 to 59999
2405,Pacific,Catholic,Full-time,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot b,14,Average,Other,Female,40,Someone else,Married,3,33,6,Not applicable,6,9,Refused
2406,Pacific,Protestant,Full-time,Not applicable,9945,"Mexican, mexican american, chicano/a",White,Ballot a,59.8,Far below average,White,Female,40,Someone else,Married,3,36,13,Not applicable,12,12,$30000 to 34999
2407,Pacific,None,Part-time,Heterosexual or straight,3042,"Mexican, mexican american, chicano/a","Other, mixed",Ballot c,21.6,Below average,White,Female,12,Someone else,Never married,4,30,11,Don't know,Don't know,Not applicable,$12500 to 14999
2408,Pacific,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,81,Average,White,Male,Not applicable,Someone else,Divorced,2,67,15,Not applicable,14,Not applicable,$12500 to 14999
2409,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot b,24.2,Below average,Black,Female,Not applicable,Someone else,Divorced,7,66,14,Not applicable,9,Not applicable,$20000 to 22499
2410,Pacific,Catholic,Full-time,Not applicable,3042,"Mexican, mexican american, chicano/a","Other, mixed",Ballot a,14,Far below average,Other,Male,26,Someone else,Never married,2,33,8,Not applicable,0,Not applicable,$20000 to 22499
2411,Pacific,Protestant,Full-time,No answer,0,Not hispanic,White,Ballot b,38.8,Far above average,White,Female,Not applicable,Someone else,Divorced,Dk na,50,15,12,Don't know,Not applicable,$12500 to 14999
2412,Pacific,Buddhism,Not applicable,Not applicable,12870,Not hispanic,"Asiatic, oriental",Ballot a,52.6,Above average,Other,Female,Not applicable,Someone else,Widowed,0,86,20,20,12,Not applicable,$25000 to 29999
2413,Pacific,Catholic,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot b,-1,Average,White,Female,Not applicable,No answer,Never married,2,31,12,Don't know,Don't know,Not applicable,Don't know
2414,Pacific,Catholic,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,31.2,Above average,White,Male,60,Self-employed,Divorced,2,56,16,8,20,Not applicable,$75000 to $89999
2415,Pacific,Catholic,Full-time,Not applicable,25740,"Mexican, mexican american, chicano/a",White,Ballot a,51.5,Below average,White,Female,20,Self-employed,Divorced,1,29,16,2,12,Not applicable,$50000 to 59999
2416,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,32,Below average,White,Male,Not applicable,Self-employed,Married,1,69,13,8,12,13,$75000 to $89999
2417,Pacific,Catholic,Full-time,Not applicable,12870,"Mexican, mexican american, chicano/a","Other, mixed",Ballot a,46.5,Below average,Other,Female,40,Someone else,Never married,2,31,12,1,2,Not applicable,$25000 to 29999
2418,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,32,Above average,White,Male,Not applicable,Someone else,Separated,4,67,12,Don't know,12,Not applicable,$10000 to 12499
2419,Pacific,None,Part-time,Heterosexual or straight,3042,Not hispanic,White,Ballot b,14,Above average,White,Female,35,Self-employed,Separated,4,59,20,11,19,Not applicable,$25000 to 29999
2420,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,20.5,Don't know,White,Male,Not applicable,Self-employed,Married,4,61,12,Don't know,12,12,$60000 to 74999
2421,Pacific,Jewish,Full-time,Not applicable,15210,Not hispanic,White,Ballot a,28.6,Average,White,Female,34,Someone else,Married,3,56,14,16,12,13,$75000 to $89999
2422,Pacific,None,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot c,82.5,Average,White,Female,40,Someone else,Married,2,37,17,16,12,16,$130000 to $149999
2423,Pacific,Catholic,Part-time,Heterosexual or straight,3510,Not hispanic,"Other, mixed",Ballot c,67.7,Average,White,Male,12,Self-employed,Separated,4,67,12,12,12,Not applicable,$15000 to 17499
2424,Pacific,None,Part-time,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot b,10.6,Below average,White,Male,Not applicable,Someone else,Never married,0,19,12,12,12,Not applicable,$8 000 to 9 999
2425,Pacific,Catholic,Full-time,Not applicable,0,Chilean,White,Ballot a,24.2,Average,White,Female,42,Someone else,Widowed,6,61,17,12,12,Not applicable,Refused
2426,Pacific,Protestant,Part-time,Heterosexual or straight,11115,Not hispanic,White,Ballot c,26.1,Average,White,Male,64,Someone else,Married,1,42,12,Not applicable,12,14,$75000 to $89999
2427,Pacific,Other,Full-time,Bisexual,12870,Not hispanic,White,Ballot c,63.7,Above average,White,Female,60,Someone else,Divorced,0,56,20,18,16,Not applicable,$25000 to 29999
2428,Pacific,None,Part-time,Bisexual,1638,Not hispanic,White,Ballot b,24.2,Below average,White,Female,Not applicable,Someone else,Divorced,2,59,13,13,16,Not applicable,$3 000 to 3 999
2429,Pacific,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,84.2,Average,White,Female,Not applicable,Someone else,Never married,1,68,18,6,12,Not applicable,$75000 to $89999
2430,Pacific,None,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,52,Average,White,Female,39,Someone else,Widowed,2,62,16,11,12,Not applicable,$40000 to 49999
2431,Pacific,Catholic,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot b,71.7,Above average,White,Female,50,Someone else,Never married,0,27,20,18,18,Not applicable,$40000 to 49999
2432,Pacific,Catholic,Not applicable,Not applicable,0,Spanish,Amer indian,Ballot a,20.7,Far below average,Other,Female,Not applicable,Someone else,Widowed,0,69,11,Not applicable,10,Not applicable,Refused
2433,Pacific,None,Part-time,No answer,3510,"Mexican, mexican american, chicano/a",White,Ballot b,26.1,Average,White,Female,Not applicable,Someone else,Married,2,38,14,12,8,12,$40000 to 49999
2434,Pacific,Protestant,Not applicable,Not applicable,11115,Not hispanic,White,Ballot a,84.2,Above average,White,Male,Not applicable,Someone else,Married,0,63,16,12,14,16,$90000 to $109999
2435,Pacific,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,41,Below average,White,Female,Not applicable,Self-employed,Widowed,3,81,10,Not applicable,12,Not applicable,$17500 to 19999
2436,Pacific,Christian,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,-1,Average,White,Female,Not applicable,Not applicable,Never married,0,20,14,Not applicable,17,Not applicable,Don't know
2437,Pacific,None,Part-time,Bisexual,0,Not hispanic,White,Ballot b,37.6,Above average,White,Female,Not applicable,Someone else,Never married,0,26,17,Not applicable,20,Not applicable,$110000 to $129999
2438,Pacific,Catholic,Part-time,Not applicable,3042,Not hispanic,White,Ballot a,28.6,Below average,White,Female,30,Someone else,Never married,0,24,16,16,16,Not applicable,$7 000 to 7 999
2439,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,62.9,Average,White,Female,Not applicable,Someone else,Married,2,35,19,14,12,20,$75000 to $89999
2440,Pacific,None,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,62,Above average,White,Male,55,Self-employed,Married,3,52,15,16,16,16,$90000 to $109999
2441,Pacific,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,78.3,Average,White,Female,40,Self-employed,Married,1,43,16,Not applicable,10,16,$75000 to $89999
2442,Pacific,None,Part-time,Heterosexual or straight,2106,Not hispanic,White,Ballot b,31.6,Average,White,Female,25,Someone else,Married,0,68,16,7,12,13,$75000 to $89999
2443,Pacific,None,Not applicable,Not applicable,936,Not hispanic,White,Ballot a,89.3,Average,White,Male,Not applicable,Someone else,Married,0,77,17,10,12,15,$35000 to 39999
2444,Pacific,Catholic,Part-time,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot c,39.7,Below average,Other,Male,Not applicable,Someone else,Never married,0,22,15,5,1,Not applicable,Don't know
2445,Pacific,Buddhism,Part-time,No answer,0,Not hispanic,White,Ballot c,-1,Below average,Other,Female,Not applicable,Not applicable,Never married,0,21,15,Not applicable,19,Not applicable,$5 000 to 5 999
2446,Pacific,Buddhism,Full-time,Heterosexual or straight,38610,Not hispanic,White,Ballot c,88.7,Average,White,Female,35,Self-employed,Married,0,58,18,18,18,14,$90000 to $109999
2447,Pacific,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,-1,Average,White,Female,Not applicable,Not applicable,Never married,0,24,15,Not applicable,14,Not applicable,$10000 to 12499
2448,Pacific,None,Full-time,Not applicable,0,Not hispanic,White,Ballot a,10.6,Average,White,Male,21,Someone else,Never married,0,23,15,12,16,Not applicable,Don't know
2449,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,84.2,Below average,White,Female,Not applicable,Someone else,Married,2,53,17,9,12,12,$110000 to $129999
2450,Pacific,Protestant,Full-time,Not applicable,0,Not hispanic,White,Ballot a,38.3,Average,White,Male,Not applicable,Someone else,Married,2,70,13,5,12,13,$110000 to $129999
2451,Pacific,Other,Not applicable,Heterosexual or straight,234,Not hispanic,White,Ballot c,20.7,Below average,White,Male,No answer,Someone else,Never married,0,45,9,9,9,Not applicable,$12500 to 14999
2452,Pacific,None,Full-time,Heterosexual or straight,3510,Not hispanic,White,Ballot b,20.7,Average,White,Male,16,Someone else,Married,3,72,12,12,12,14,$50000 to 59999
2453,Pacific,Protestant,Part-time,Not applicable,1638,Not hispanic,"Asiatic, oriental",Ballot a,37.6,Above average,White,Male,Not applicable,Someone else,Never married,0,23,15,16,12,Not applicable,$10000 to 12499
2454,Pacific,Protestant,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,14,Below average,White,Male,Not applicable,Someone else,Never married,0,19,13,12,12,Not applicable,$40000 to 49999
2455,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,63.1,Below average,White,Male,Not applicable,Someone else,Divorced,3,70,13,9,12,Not applicable,$25000 to 29999
2456,Pacific,None,Full-time,Heterosexual or straight,12870,Not hispanic,White,Ballot b,28.7,Average,White,Male,45,Someone else,Never married,0,53,14,Don't know,12,Not applicable,$60000 to 74999
2457,Pacific,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,52.4,Far below average,White,Male,Not applicable,Someone else,Divorced,0,85,10,4,Don't know,Not applicable,$15000 to 17499
2458,Pacific,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,45.3,Average,White,Female,40,Someone else,Married,2,57,14,12,13,12,$150000 to $169999
2459,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,31.3,Below average,White,Female,Not applicable,Someone else,Married,0,62,12,Not applicable,20,12,Refused
2460,Pacific,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,24.6,Average,White,Female,Not applicable,Someone else,Divorced,2,64,14,12,10,Not applicable,$10000 to 12499
2461,Pacific,None,Part-time,Heterosexual or straight,17550,Not hispanic,White,Ballot b,13.3,Below average,White,Female,30,Someone else,Married,1,62,12,Not applicable,12,13,$60000 to 74999
2462,Pacific,Protestant,Part-time,Not applicable,7605,Not hispanic,White,Ballot c,31.1,Average,White,Female,30,Self-employed,Separated,0,51,14,12,12,Not applicable,$75000 to $89999
2463,Pacific,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,88.7,Above average,White,Female,32,Someone else,Married,2,36,19,13,12,14,$110000 to $129999
2464,Pacific,None,Not applicable,Dont know,0,Not hispanic,White,Ballot c,-1,Below average,White,Female,Not applicable,Not applicable,Never married,0,20,13,Not applicable,12,Not applicable,$25000 to 29999
2465,Pacific,Christian,Full-time,Not applicable,5265,Not hispanic,"Other, mixed",Ballot a,13.6,Far below average,White,Male,32,Someone else,Never married,1,26,11,Not applicable,13,Not applicable,$10000 to 12499
2466,Pacific,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,23,Average,White,Male,Not applicable,Someone else,Never married,0,64,12,16,8,Not applicable,$12500 to 14999
2467,Pacific,None,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,84.5,Average,White,Female,44,Someone else,Never married,0,46,20,13,14,Not applicable,$90000 to $109999
2468,Pacific,None,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,17,Above average,White,Female,Not applicable,Someone else,Married,0,25,15,16,Not applicable,13,$22500 to 24999
2469,Pacific,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,53.8,Below average,White,Male,Not applicable,Someone else,Divorced,1,69,16,14,10,Not applicable,$40000 to 49999
2470,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,35.8,Average,White,Female,Not applicable,Someone else,Divorced,2,62,12,Not applicable,12,Not applicable,Don't know
2471,Pacific,Catholic,Not applicable,Not applicable,0,Not hispanic,Amer indian,Ballot a,13.6,Below average,Other,Female,Not applicable,Someone else,Widowed,4,65,7,Don't know,Not applicable,Not applicable,$75000 to $89999
2472,Pacific,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,69.3,Above average,White,Male,50,Someone else,Never married,0,26,16,16,16,Not applicable,$60000 to 74999
